Attacker TH,Defender TH,# Attacks,Mean Stars,Triple %
6,10,3,0.0,0.0
6,11,1,0.0,0.0
6,13,1,0.0,0.0
6,4,2,3.0,1.0
6,7,3,0.0,0.0
6,8,2,0.0,0.0
6,9,1,0.0,0.0
7,10,4,1.0,0.0
7,11,3,0.3333333333333333,0.0
7,12,12,0.25,0.0
7,13,25,0.12,0.0
7,3,2,3.0,1.0
7,4,4,3.0,1.0
7,6,6,3.0,1.0
7,7,20,2.25,0.6
7,8,5,1.4,0.2
7,9,6,0.6666666666666666,0.0
8,10,7,0.7142857142857143,0.0
8,11,12,0.9166666666666666,0.08333333333333333
8,12,12,0.08333333333333333,0.0
8,13,50,0.34,0.0
8,3,2,3.0,1.0
8,4,2,3.0,1.0
8,6,3,3.0,1.0
8,7,7,2.7142857142857144,0.7142857142857143
8,8,8,2.0,0.5
8,9,9,1.3333333333333333,0.2222222222222222
9,10,43,1.6744186046511629,0.23255813953488372
9,11,50,0.76,0.04
9,12,74,0.3918918918918919,0.0
9,13,228,0.41228070175438597,0.0
9,3,2,3.0,1.0
9,4,1,3.0,1.0
9,6,2,3.0,1.0
9,7,14,2.7142857142857144,0.8571428571428571
9,8,33,2.757575757575758,0.8181818181818182
9,9,71,2.3098591549295775,0.5774647887323944
10,10,225,2.1777777777777776,0.4
10,11,264,1.5833333333333333,0.11742424242424243
10,12,175,0.9028571428571428,0.0
10,13,555,0.6738738738738739,0.0018018018018018018
10,3,1,3.0,1.0
10,4,3,3.0,1.0
10,6,6,3.0,1.0
10,7,9,2.888888888888889,0.8888888888888888
10,8,23,2.9565217391304346,0.9565217391304348
10,9,102,2.6862745098039214,0.7647058823529411
11,10,434,2.6635944700460827,0.7373271889400922
11,11,1425,2.119298245614035,0.32842105263157895
11,12,1114,1.5475763016157988,0.07360861759425494
11,13,3462,1.0670132871172733,0.006932409012131715
11,4,1,3.0,1.0
11,5,3,3.0,1.0
11,6,5,3.0,1.0
11,7,7,3.0,1.0
11,8,21,3.0,1.0
11,9,86,2.883720930232558,0.9186046511627907
12,10,308,2.8701298701298703,0.8896103896103896
12,11,1667,2.578884223155369,0.6412717456508699
12,12,3626,1.9633204633204633,0.21952564809707667
12,13,15758,1.5395354740449296,0.021512882345475316
12,3,5,3.0,1.0
12,4,3,3.0,1.0
12,5,4,3.0,1.0
12,6,6,3.0,1.0
12,7,15,3.0,1.0
12,8,50,3.0,1.0
12,9,135,2.9851851851851854,0.9851851851851852
13,3,12,3.0,1.0
13,4,4,3.0,1.0
13,5,31,3.0,1.0
13,6,36,3.0,1.0
13,7,98,3.0,1.0
13,8,198,3.0,1.0
13,9,514,2.9863813229571985,0.9941634241245136
13,10,1139,2.993854258121159,0.9947322212467077
13,11,4704,2.9496173469387754,0.9591836734693877
13,12,18712,2.668020521590423,0.7207139803334759
13,13,530953,1.9935192003812015,0.1356315907434368
